ID,Date,Team,Acquired,Relinquished,Notes
0,25/12/1951,Bullets,, Don Barksdale,placed on IL
1,26/12/1952,Knicks,, Max Zaslofsky,placed on IL with torn side muscle
2,29/12/1956,Knicks,, Jim Baechtold,placed on inactive list
3,16/01/1959,Lakers,, Elgin Baylor,player refused to play after being denied a room in team's hotel
4,26/11/1961,Lakers,, Elgin Baylor,player reported for military duty
5,24/03/1962,Lakers, Elgin Baylor,,player given 2-day pass from military duty
6,31/03/1962,Lakers, Elgin Baylor,,player given weekend pass from military duty
7,25/10/1962,Zephyrs,, Al Ferrari,placed on disabled list
8,06/11/1962,Zephyrs, Al Ferrari,,activated from disabled list
9,14/11/1962,Zephyrs,, Al Ferrari,placed on disabled list with knee injury
10,11/09/1965,Pistons,, Terry Dischinger,service in army (date approximate)
11,15/10/1969,Bucks,, Bob Greacen,placed on IL with sprained ankle
12,28/10/1969,Bucks, Bob Greacen,,activated from IL
13,03/12/1969,Bucks,, John Arthurs,deployed to National Guard for remainder of the season
14,24/01/1970,Bucks,, Guy Rodgers,placed on IL with torn leg muscle
15,15/09/1971,Colonels (ABA),, Jim Welch / Poo Welch,placed on IL
16,30/10/1971,Squires (ABA), Doug Moe,,"""activated"""
17,08/11/1971,Chaparrals (ABA), Eugene Kennedy / Gene Kennedy / Goo Kennedy,,"""activated"""
18,10/10/1972,Cavaliers,, Bobby Washington,placed on IL
19,04/11/1972,Cavaliers,, Rick Roberson,placed on IL with pulled hamstring
20,10/11/1972,Tams (ABA),, Merv Jackson,placed on IL
21,11/11/1972,Tams (ABA),, Randy Denton,placed on IL
22,28/11/1972,Tams (ABA), Merv Jackson,,activated from IL
23,16/12/1972,Tams (ABA), Randy Denton,,activated from IL
24,24/02/1973,Kings,, John Green (a) / Johnny Green,placed on IL
25,24/02/1973,Kings, Frank Schade,,activated from IL
26,19/03/1973,Bulls, Tom Boerwinkle,,activated from IL
27,07/11/1973,Rockets, George Johnson (E.),,"""activated"""
28,17/11/1973,Kings,, Mike D'Antoni,placed on IL with fractured right hand
29,20/12/1973,Kings, Mike D'Antoni,,activated from IL
30,22/12/1973,Knicks, Earl Monroe,,"""activated"""
31,31/01/1974,Nets (ABA), Jim O'Brien (M.),,"""activated"""
32,27/03/1974,Bucks,, Lucius Allen,placed on IL with torn cartilage in knee (out for season)
33,27/03/1974,Bucks, Dick Cunningham,,activated from IL
34,16/10/1974,Bucks,, Kareem Abdul-Jabbar / Lew Alcindor,placed on IL with fractured right hand and lacerated left eye
35,16/10/1974,Bucks, Dick Cunningham,,activated from IL
36,17/10/1974,Spirits (ABA), Gilbert McGregor / Gil McGregor,,"""activated"""
37,28/10/1974,Bucks,, Dick Cunningham,placed on IL
38,28/10/1974,Knicks,, Melvin Davis / Mel Davis,placed on IL with shoulder injury
39,28/10/1974,Knicks, Howard Porter,,activated from IL
40,05/11/1974,Colonels (ABA), John Roche,,activated from IR
41,07/11/1974,Spirits (ABA),, Bernie Fryer,placed on IL with torn thigh muscle
42,14/11/1974,Knicks, Melvin Davis / Mel Davis,,"""restored to active list"""
43,21/11/1974,Colonels (ABA),, Ted McClain,placed on IR with torn calf muscle
44,05/12/1974,Hawks,, Lou Hudson,placed on IL with right elbow inflammation
45,23/01/1975,Spirits (ABA),, Mike Barr,placed on IL with viral illness
46,25/02/1975,Stars (ABA), Henry Wilmore,,"""reactivated"""
47,07/03/1975,Celtics, Phil Hankinson,,"""activated"""
48,20/10/1975,Braves,, Tom McMillen,placed on IL with bruised right heel
49,22/10/1975,76ers,, LeRoy Ellis,placed on IL
50,22/10/1975,Knicks,, Larry Fogle,placed on IL
51,22/10/1975,Pistons,, Terry Thomas,placed on IL
52,11/11/1975,Braves, Tom McMillen,,activated from IL
53,24/11/1975,Knicks, Larry Fogle,,activated from IL
54,17/01/1976,Jazz,, Ron Behagen,placed on IL with hairline fracture below left eye (date approximate)
55,16/02/1976,Jazz, Ron Behagen,,activated from IL
56,28/02/1976,Nuggets (ABA), George Irvine,,"""reactivated"""
57,20/10/1976,76ers,, Clyde Lee,placed on IL
58,20/10/1976,76ers,, Mel Bennett,placed on IL
59,20/10/1976,Bucks,, Lloyd Walton,placed on IL
60,20/10/1976,Cavaliers,, Chuck Williams / Chuckie Williams (Leon),placed on IL
61,20/10/1976,Cavaliers,, Luke Witte,placed on IL
62,20/10/1976,Hawks,, Geoff Petrie,placed on IL
63,20/10/1976,Knicks,, Alfred Beard / Butch Beard,placed on IL
64,20/10/1976,Knicks,, Jim Barnett,placed on IL
65,20/10/1976,Pistons,, John Mengelt,placed on IL
66,20/10/1976,Sonics,, Dean Tolson,placed on IL
67,20/10/1976,Warriors,, Dwight Davis,placed on IL
68,01/11/1976,Lakers,, Stu Lantz,placed on IL (date approximate)
69,10/11/1976,Bucks,, Kevin Restani,placed on IL
70,11/12/1976,Bucks, Kevin Restani,,activated from IL
71,15/12/1976,Bulls,, Jack Marin,placed on IL recovering from surgery to remove benign tumor in groin area
72,12/01/1977,Bulls,, Keith Starr,placed on IL (date approximate)
73,12/01/1977,Jazz,, Gail Goodrich,placed on IL with Achilles tendon injury
74,02/02/1977,Bulls,, Leon Benbow,placed on IL
75,30/09/1977,Celtics,, Steve Kuberski,placed on IL
76,17/10/1977,76ers,, Wilson Washington,placed on IL
77,17/10/1977,Lakers,, Kenny Carr,placed on IL
78,17/10/1977,Sonics,, Dean Tolson,placed on IL
79,17/10/1977,Suns,, Ira Terrell,placed on IL
80,18/10/1977,Lakers,, Kareem Abdul-Jabbar / Lew Alcindor,placed on IL with fractured hand
81,10/11/1977,Lakers,, Don Chaney,placed on IL with fractured right thumb
82,14/11/1977,Cavaliers,, Terry Furlow,placed on IL
83,14/11/1977,Hawks,, Claude Terry,placed on IL
84,14/11/1977,Nets,, Jan van Breda Kolff,placed on IL
85,14/11/1977,Pistons, Al Eberhard,,"""reactivated"""
86,14/11/1977,Spurs,, James Silas,placed on IL
87,24/11/1977,Celtics, Steve Kuberski,,activated from IL
88,29/11/1977,Hawks,, John Drew,placed on IL
89,29/11/1977,Hawks,, Steve Hawes,placed on IL
90,29/11/1977,Hawks, Claude Terry,,"""reactivated"""
91,07/01/1978,Bulls,, Jim Ard,placed on IL
92,01/02/1978,Jazz,, Fred Boyd / Freddie Boyd,placed on IL
93,10/02/1978,Celtics,, Tom Boswell,placed on IL with dislocated pinky finger on right hand
94,17/02/1978,Bulls,, Scott May,placed on IL
95,23/02/1978,Celtics, Jo Jo White,,activated from IL
96,24/02/1978,Celtics,, Curtis Rowe,placed on IL
97,03/03/1978,Celtics,, Jo Jo White,placed on IL
98,03/03/1978,Celtics, Tom Boswell,,activated from IL
99,07/03/1978,Braves,, Billy Knight,placed on IL
100,01/10/1978,Cavaliers,, Elmore Smith,placed on IL with exploratory surgery on left knee (date approximate)
101,11/10/1978,Kings,, Lucius Allen,placed on IL
102,12/10/1978,Blazers,, Bob Gross,placed on IL
103,12/10/1978,Blazers,, Maurice Lucas,placed on IL
104,12/10/1978,Bucks,, George Johnson (Lee),placed on IL
105,12/10/1978,Bulls,, Len Kosmalski,placed on IL
106,12/10/1978,Bulls,, Tate Armstrong,placed on IL
107,12/10/1978,Celtics,, Curtis Rowe,placed on IL
108,12/10/1978,Clippers,, Jerome Whitehead,placed on IL
109,12/10/1978,Hawks,, Geoff Petrie,placed on IL
110,12/10/1978,Hawks,, Mike Sojourner,placed on IL
111,12/10/1978,Pistons,, John Shumate,placed on IL
112,12/10/1978,Warriors,, E.C. Coleman,placed on IL
113,12/10/1978,Warriors,, Wesley Cox,placed on IL
114,29/10/1978,Knicks, John Rudd,,activated
115,31/10/1978,Cavailers, Bobby Smith (b) / Bingo Smith,,"""reactivated"""
116,31/10/1978,Cavaliers,, Clarence Walker / Foots Walker,placed on IL
117,01/11/1978,Celtics,, Marvin Barnes,placed on IL
118,01/11/1978,Celtics, Curtis Rowe,,activated from IL
119,14/11/1978,Cavaliers,, Walt Frazier,placed on IL
120,14/11/1978,Cavaliers, Clarence Walker / Foots Walker,,activated from IL
121,15/12/1978,Hawks, Charlie Criss,,activated from IL
122,28/12/1978,Pistons, John Shumate,,activated from IL
123,13/01/1979,Pistons,, Ben Poquette,placed on IL with sprained left foot
124,13/01/1979,Pistons,, John Shumate,placed on IL with blood clots in lungs
125,14/01/1979,Celtics,, Nate Archibald,placed on IL with flu
126,23/01/1979,Pistons, Ben Poquette,,"""reactivated"""
127,01/02/1979,Kings, Lucius Allen,,activated from IL
128,08/02/1979,Blazers,, Dave Twardzik,placed on IL
129,12/02/1979,76ers,, Doug Collins,placed on IL
130,15/02/1979,Cavaliers, Elmore Smith,,activated from IL
131,20/02/1979,Knicks,, Marvin Webster,placed on IL
132,23/02/1979,Bulls,, Charles Dudley,placed on IL
133,23/02/1979,Bulls, Tate Armstrong,,activated from IL
134,26/02/1979,Bullets,, Roger Phegley,placed on IL
135,26/02/1979,Bullets, Mitch Kupchak,,activated from IL
136,01/03/1979,Knicks, Marvin Webster,,activated from IL
137,01/03/1979,Sonics,, Wally Walker,placed on IL
138,01/04/1979,Nuggets,, George McGinnis,placed on IL
139,01/04/1979,Nuggets, Geoff Crompton,,activated from IL
140,08/10/1979,Cavaliers,, Butch Lee,placed on IL
141,08/10/1979,Cavaliers,, Elmore Smith,placed on IL
142,10/10/1979,Jazz,, Carl Kilpatrick,placed on IL with surgery on right knee
143,10/10/1979,Spurs,, Sylvester Norris,placed on IL
144,10/10/1979,Suns,, Bayard Forrest,placed on IL
145,11/10/1979,76ers,, Clint Richardson,placed on IL
146,11/10/1979,Blazers,, Dave Twardzik,placed on IL
147,11/10/1979,Blazers,, Maurice Lucas,placed on IL
148,11/10/1979,Blazers,, Mychal Thompson,placed on IL with fractured left leg
149,11/10/1979,Bullets,, Mitch Kupchak,placed on IL
150,11/10/1979,Bullets,, Steve Malovic,placed on IL
151,11/10/1979,Cavaliers,, Clarence Walker / Foots Walker,placed on IL
152,11/10/1979,Knicks,, Earl Monroe,placed on IL with right hip inflammation
153,11/10/1979,Knicks,, Marvin Webster,placed on IL with right knee tendinitis
154,11/10/1979,Nets,, Bob Elliott,placed on IL
155,11/10/1979,Pacers,, John Kuester,placed on IL
156,11/10/1979,Pacers,, Len Elmore,placed on IL
157,11/10/1979,Pistons,, Earl Evans,placed on IL with sprained right ankle
158,11/10/1979,Rockets,, Allen Leavell,placed on IL
159,11/10/1979,Rockets,, Paul Mokeski,placed on IL
160,11/10/1979,Warriors,, Phil Smith,placed on IL
161,24/10/1979,Nets,, Cliff Robinson,placed on IL
162,24/10/1979,Nets, Bob Elliott,,activated from IL
163,25/10/1979,76ers, Clint Richardson,,activated from IL
164,01/11/1979,Pacers, Tony Zeno,,activated
165,07/11/1979,Blazers, Bob Gross,,activated from IL
166,11/11/1979,Jazz,, Bernard King,placed on IL with sprained left ankle
167,16/11/1979,Clippers, John Olive,,"""activated"""
168,21/11/1979,Kings,, Mike Green,placed on IL
169,21/11/1979,Kings, Tom Burleson,,activated from IL
170,23/11/1979,Bullets, Mitch Kupchak,,activated from IL
171,28/11/1979,Rockets, Mike Dunleavy (Sr.),,activated from IL
172,04/12/1979,Clippers, Bill Walton,,activated
173,04/12/1979,Pistons,, Greg Kelser,placed on IL
174,04/12/1979,Pistons, Terry Duerod,,activated
175,05/12/1979,Bullets, Kevin Grevey,,activated from IL
176,07/12/1979,Rockets,, Tom Henderson,placed on IL
177,07/12/1979,Rockets, Rudy Tomjanovich,,activated
178,15/12/1979,Warriors,, Tom Abernethy,placed on IL
179,16/12/1979,Jazz, Bernard King,,activated from IL
180,21/12/1979,Hawks,, Ron Lee,placed on IL
181,03/01/1980,Jazz, Paul Dawkins,,activated
182,03/01/1980,Warriors, Tom Abernethy,,activated from IL
183,18/01/1980,Pistons, Greg Kelser,,activated from IL
184,22/01/1980,Cavaliers,, Michael Russell / Campy Russell,placed on IL with knee injury
185,22/01/1980,Cavaliers, Earl Tatum,,activated
186,30/01/1980,Clippers,, Steve Malovic,placed on IL
187,22/02/1980,Spurs,, Wiley Peck,placed on IL
188,28/02/1980,Nuggets,, David Thompson (O'Neil),placed on IL
189,05/03/1980,Knicks,, Sylvester Williams / Sly Williams,placed on IL
190,05/03/1980,Knicks, Geoff Huston,,"""activated"""
191,05/03/1980,Pistons,, Bob McAdoo,placed on IL
192,05/03/1980,Pistons,, Kent Benson,placed on IL
193,05/03/1980,Pistons, Earl Evans,,activated from IL
194,14/03/1980,Pistons,, Earl Evans,placed on IL
195,14/03/1980,Pistons, Kent Benson,,activated from IL
196,22/03/1980,Jazz,, Adrian Dantley,placed on IL
197,08/10/1980,Clippers,, Bill Walton,placed on IL with foot inujry
198,08/10/1980,Kings,, Mel Bennett,placed on IL
199,08/10/1980,Nuggets,, James Ray (b),placed on IL
200,08/10/1980,Pistons,, Bob McAdoo,placed on IL
201,08/10/1980,Suns,, Don Buse,placed on IL
202,09/10/1980,76ers,, Andrew Toney,placed on IL with sprained ankle
203,09/10/1980,Blazers,, Dave Twardzik,placed on IL
204,09/10/1980,Blazers,, Larry Steele,placed on IL
205,09/10/1980,Bulls,, Ronnie Lester,placed on IL
206,09/10/1980,Hawks,, Tom Burleson,placed on IL with fractured wrist
207,09/10/1980,Hawks,, Wayne Rollins / Tree Rollins,placed on IL
208,09/10/1980,Knicks,, Hollis Copeland,placed on IL with sprained left knee
209,09/10/1980,Knicks,, Toby Knight,placed on IL with torn ACL in left knee
210,09/10/1980,Lakers,, Myles Patrick,placed on IL
211,09/10/1980,Lakers,, Tony Jackson,placed on IL
212,23/10/1980,Bulls, Ronnie Lester,,activated from IL
213,03/11/1980,Bulls,, Ronnie Lester,placed on IL
214,05/11/1980,Lakers,, Clarence Carter / Butch Carter,placed on IL
215,05/11/1980,Lakers, Tony Jackson,,activated from IL
216,06/11/1980,Bullets,, John Williamson,placed on IL
217,07/11/1980,Hawks,, Wayne Rollins / Tree Rollins,placed on IL
218,07/11/1980,Hawks, Tom Burleson,,activated
219,10/11/1980,Jazz,, John Duren,placed on IL with surgery on right knee
220,17/11/1980,Cavaliers, John Lambert,,"""activated"""
221,18/11/1980,Cavaliers, John Lambert,,activated from IL
222,21/11/1980,76ers,, Doug Collins,placed on IL recovering from surgery on left knee
223,21/11/1980,Nets, Maurice Lucas,,"""activated"""
224,05/12/1980,Celtics,, M.L. Carr,placed on IL
225,05/12/1980,Pistons,, John Long,placed on IL
226,09/12/1980,Rockets,, Calvin Garrett,placed on IL
227,09/12/1980,Rockets, John Stroud,,activated from IL
228,10/12/1980,Nuggets,, James Ray (b),placed on IL
229,10/12/1980,Nuggets,, John Roche,placed on IL
230,16/12/1980,Bullets,, Bob Dandridge,placed on IL with unknown injury (date approximate)
231,18/12/1980,Pistons,, Greg Kelser,placed on IL
232,18/12/1980,Pistons, Bob McAdoo,,activated from IL
233,18/12/1980,Sonics, Paul Westphal,,"""activated"""
234,21/12/1980,Pistons,, John Long,placed on IL with knee injury
235,29/12/1980,Pistons,, Bob McAdoo,placed on IL
236,02/01/1981,Mavericks,, Ralph Drollinger,placed on IL
237,02/01/1981,Pistons, John Long,,activated from IL
238,15/01/1981,Bullets,, Rick Mahorn,placed on IL
239,15/01/1981,Knicks,, Sylvester Williams / Sly Williams,placed on IL
240,18/01/1981,Jazz,, Rickey Green,placed on IL with sprained right wrist
241,18/01/1981,Jazz, John Duren,,activated from IL
242,26/01/1981,Knicks, Sylvester Williams / Sly Williams,,activated from IL
243,26/01/1981,Pistons,, Kent Benson,placed on IL
244,28/01/1981,Bullets,, Austin Carr,placed on IL
245,28/01/1981,Bullets, Bob Dandridge,,activated from IL
246,06/02/1981,Hawks,, James McElroy / Jim McElroy,placed on IL
247,08/02/1981,Spurs,, Kevin Restani,on IR (date approximate)
248,06/03/1981,Bulls,, Scott May,placed on IL
249,06/03/1981,Bulls, Ronnie Lester,,activated from IL
250,13/03/1981,Nets,, Rory Sparrow,placed on IL
251,17/03/1981,Nuggets,, Cedrick Hordges,placed on IL
252,17/03/1981,Nuggets, James Ray (b),,activated
253,10/11/1981,Knicks, Bill Cartwright,,activated from IL
254,10/11/1981,Nets, Albert King,,activated
255,16/11/1981,Bucks,, Junior Bridgeman,placed on IL
256,18/11/1981,Hawks, John Drew,,activated from IL
257,25/11/1981,Bucks, Junior Bridgeman,,activated from IL
258,02/12/1981,Jazz,, Howard Wood,placed on IL with left eye hemorrage
259,21/12/1981,Blazers, Kevin Kunnert,,activated from IL
260,26/12/1981,Knicks, Toby Knight,,activated from IL
261,26/01/1982,Blazers, Kevin Kunnert,,"""activated"""
262,07/02/1982,Pistons,, Edgar Jones,placed on IL
263,17/03/1982,Bucks,, Junior Bridgeman,placed on IL
264,31/03/1982,Knicks, Toby Knight,,"""activated"""
265,06/04/1982,Sonics,, Mark Radford,placed on IL
266,06/04/1982,Sonics, Phil Smith,,"""activated"""
267,22/10/1982,Nets,, Mike O'Koren,placed on IL with bruised buttocks
268,26/10/1982,Mavericks,, Corny Thompson,placed on IL with bone chips in right elbow
269,28/10/1982,Bucks,, Charlie Criss,placed on IL with bursitis in right hip
270,28/10/1982,Bullets,, Kevin Grevey,placed on IL with pulled abdominal muscle
271,28/10/1982,Cavaliers,, James Silas,placed on IL
272,28/10/1982,Cavaliers,, Richard Washington,placed on IL
273,28/10/1982,Knicks,, Michael Russell / Campy Russell,placed on IL with recovering from surgery on right knee to repair torn ACL in right knee
274,28/10/1982,Knicks,, Toby Knight,placed on IL with knee injury
275,28/10/1982,Pistons,, Tom Owens,placed on IL with broken right thumb
276,28/10/1982,Suns,, Craig Dykema,placed on IL with fractured left arm
277,28/10/1982,Warriors,, Derek Smith,placed on IL
278,28/10/1982,Warriors,, Jeff Jones,placed on IL
279,28/10/1982,Warriors,, Mike Gale,placed on IL
280,29/10/1982,Clippers,, Robert Smith (Leroy),placed on IL
281,29/10/1982,Clippers,, Swen Nater,placed on IL
282,29/10/1982,Lakers,, Clay Johnson,placed on IL
283,08/11/1982,Lakers, Clay Johnson,,activated from IL
284,10/11/1982,Bucks,, Harvey Catchings,placed on IL with bruised kneecap
285,10/11/1982,Bucks, Charlie Criss,,activated from IL
286,10/11/1982,Warriors,, Joe Hassett,placed on IL with broken forearm
287,10/11/1982,Warriors, Derek Smith,,activated from IL
288,24/11/1982,Pistons, Tom Owens,,activated from IL
289,26/11/1982,Pistons,, Kelly Tripucka,placed on IL with knee injury
290,28/11/1982,Pistons,, Kent Benson,placed on IL with strained ligaments in left knee
291,10/12/1982,Bucks,, Steve Mix,placed on IL with sprained right ankle
292,20/12/1982,Pistons, Kent Benson,,activated from IL
293,21/12/1982,Hawks, Tom McMillen,,activated from IL (date approximate)
294,26/12/1982,Bucks,, Brian Winters,placed on IL with strained hamstring
295,27/12/1982,Mavericks, Corny Thompson,,activated from IL
296,29/12/1982,Nuggets,, Rich Kelley,placed on IL
297,06/01/1983,Bucks, Steve Mix,,activated from IL
298,07/01/1983,Blazers,, Darnell Valentine,placed on IL with broken left foot
299,10/01/1983,Pistons, Kelly Tripucka,,activated from IL
300,11/01/1983,Warriors, Derek Smith,,activated from IL
301,18/01/1983,Bullets, Frank Johnson,,activated from IL
302,18/01/1983,Spurs,, Ed Rains,placed on IL with knee injury
303,01/02/1983,Bucks,, Charlie Criss,placed on IL with strep throat
304,01/02/1983,Bucks, Brian Winters,,activated from IL
305,01/02/1983,Pistons, Cliff Levingston,,activated from IL
306,07/02/1983,Suns,, Joel Kramer,placed on IL
307,15/02/1983,Kings, Kenny Dennard,,activated from IL
308,16/02/1983,Lakers,, Ed Jordan / Eddie Jordan,placed on IL with pulled groin
309,17/02/1983,Pistons,, Kent Benson,placed on IL with strained knee ligaments
310,23/02/1983,Knicks,, Vince Taylor,placed on IL with nose injury
311,25/02/1983,Bucks, Brian Winters,,activated from IL
312,25/02/1983,Suns,, James Edwards,placed on IL
313,02/03/1983,Bulls,, Orlando Woolridge,placed on IL with torn ligament in right knee
314,03/03/1983,Blazers,, Pete Verhoeven,placed on IL with knee injury
315,03/03/1983,Blazers, Darnell Valentine,,activated from IL
316,06/03/1983,Bulls,, Ronnie Lester,placed on IL with fractured right kneecap
317,08/03/1983,Lakers, Ed Jordan / Eddie Jordan,,activated from IL
318,12/03/1983,Blazers,, Darnell Valentine,placed on IL
319,12/03/1983,Blazers, Audie Norris,,activated from IL
320,22/03/1983,Blazers, Darnell Valentine,,activated from IL
321,23/03/1983,Nets,, Otis Birdsong,placed on IL with stress fracture in pelvis
322,01/04/1983,Suns,, David Thirdkill,placed on IL with viral infection
323,01/04/1983,Suns, James Edwards,,activated from IL
324,04/04/1983,Rockets, Chuck Nevitt,,activated
325,15/04/1983,Nets, Otis Birdsong,,activated from IL
326,16/04/1983,Lakers,, Ed Jordan / Eddie Jordan,placed on IL with bruised toe
327,16/04/1983,Lakers, Bob McAdoo,,activated from IL
328,25/10/1983,Suns,, Charles Pittman,placed on IL
329,26/10/1983,Celtics,, Winfred King,placed on IL
330,26/10/1983,Lakers,, Clay Johnson,placed on IL
331,26/10/1983,Lakers,, Kurt Rambis,placed on IL
332,26/10/1983,Lakers,, Mitch Kupchak,placed on IL
333,27/10/1983,Knicks,, Eric Fernsten,placed on IL
334,28/10/1983,Kings,, Mike Woodson,placed on IL with arthroscopic surgery to repair torn cartilage in right knee
335,31/10/1983,Warriors,, Ron Brewer,placed on IL with shoulder injury
336,01/11/1983,Nets,, Clarence Walker / Foots Walker,placed on IL with foot injury
337,08/11/1983,Bucks,, Charlie Criss,placed on IL with strained foot
338,11/11/1983,Spurs, Roger Phegley,,activated from IL
339,15/11/1983,Hawks,, Armond Hill,placed on IL with fractured nose
340,15/11/1983,Hawks, Billy Paultz,,activated from IL
341,16/11/1983,Suns,, James Edwards,placed on IL with hand injury
342,16/11/1983,Suns, Charles Pittman,,activated from IL
343,18/11/1983,Lakers, Mitch Kupchak,,activated from IL
344,22/11/1983,Kings, Mike Woodson,,activated from IL
345,24/11/1983,Suns,, Paul Westphal,placed in IL with strained left leg
346,24/11/1983,Suns, James Edwards,,activated from IL
347,01/12/1983,Warriors,, Ron Brewer,placed on IL with hand injury
348,04/12/1983,Suns,, Rick Robey,placed on IL for knee surgery
349,04/12/1983,Suns, Paul Westphal,,activated from IL
350,20/12/1983,Knicks, Eric Fernsten,,activated from IL
351,20/12/1983,Nets, Clarence Walker / Foots Walker,,activated from IL
352,30/12/1983,Lakers, Earvin Johnson / Magic Johnson,,activated from IL
353,01/01/1984,Blazers,, Darnell Valentine,placed on IL with broken bone in left hand
354,03/01/1984,Spurs,, Johnny Moore,placed on IL with broken right index finger (out ~4 weeks)
355,07/01/1984,Lakers,, Larry Spriggs,placed on IL with hip pointer
356,07/01/1984,Lakers, Kurt Rambis,,activated from IL
357,10/01/1984,Suns,, Paul Westphal,placed on IL with sore right leg
358,10/01/1984,Warriors,, Eric Floyd / Sleepy Floyd,placed on IL with sprained ankle
359,10/01/1984,Warriors, Ron Brewer,,activated from IL
360,13/01/1984,Sonics,, Clay Johnson,placed on IL
361,19/01/1984,Warriors,, Russell Cross,placed on IL with strained knee
362,19/01/1984,Warriors, Eric Floyd / Sleepy Floyd,,activated from IL
363,24/01/1984,Sonics,, Fred Brown,placed on IL
364,24/01/1984,Sonics, Clay Johnson,,activated from IL
365,01/02/1984,Suns, Paul Westphal,,activated from IL
366,02/02/1984,76ers,, Leo Rautins,placed on IL with ankle injury
367,05/02/1984,Blazers, Darnell Valentine,,activated from IL
368,13/02/1984,Sonics,, Clay Johnson,placed on IL with knee injury
369,13/02/1984,Sonics, Fred Brown,,activated from IL
370,18/02/1984,Pacers,, Herb Williams,placed on IL with sprained ankle
371,02/03/1984,Lakers,, Calvin Garrett,placed on IL with knee imflammation
372,02/03/1984,Lakers, Larry Spriggs,,activated from IL
373,09/03/1984,Pacers, Herb Williams,,activated from IL
374,31/03/1984,Kings,, Joe Meriweather / Joe C. Meriweather,placed on IL with sprained left foot
375,12/10/1984,Kings,, Ed Nealy,placed on IL with bruised right calf (out 6-8 weeks)
376,23/10/1984,Lakers,, Earl Jones,placed on IL with right foot sesamoiditis
377,23/10/1984,Nets,, Clarence Walker / Foots Walker,placed on IL with right knee inflammation
378,25/10/1984,Bucks,, Ricky Pierce,placed on IL
379,25/10/1984,Cavaliers,, Lonnie Shelton,placed on IL
380,25/10/1984,Cavaliers,, Paul Thompson,placed on IL
381,25/10/1984,Nets,, Albert King,placed on IL with back spasms
382,25/10/1984,Pacers,, Clark Kellogg,placed on IL recovering from arthroscopic surgery on left knee
383,25/10/1984,Sonics,, John Schweitz,placed on IL
384,25/10/1984,Sonics,, Reggie King,placed on IL
385,05/11/1984,Cavaliers, Paul Thompson,,activated from IL
386,06/11/1984,Hawks, Scott Hastings,,activated from IL
387,06/11/1984,Pistons,, Dan Roundfield,placed on IL with strained left calf muscle
388,07/11/1984,Cavaliers,, Ron Anderson,placed on IL with stress fracture in left femur
389,08/11/1984,Knicks,, Eddie Lee Wilkins,placed on IL with sprained ankle
390,09/11/1984,Pacers, Clark Kellogg,,activated from IL
391,20/11/1984,Pistons, Dan Roundfield,,activated from IL
392,24/11/1984,Pistons,, Kelly Tripucka,placed on IL with pulled hamstring (date approximate)
393,24/11/1984,Suns,, Larry Nance (Sr.),placed on IL
394,24/11/1984,Suns,, Rod Foster,placed on IL
395,26/11/1984,Knicks,, Bill Cartwright,placed on IL with fractured metatarsal bone in left foot
396,26/11/1984,Knicks, Eddie Lee Wilkins,,activated from IL
397,27/11/1984,Lakers,, Earl Jones,placed on IL with sprained right ankle & foot inflammation
398,12/12/1984,Nets,, Albert King,placed on IL with pulled groin
399,12/12/1984,Nets, Tom LaGarde,,activated from IL
400,14/12/1984,Kings,, Larry Drew (I),placed on IL with sprained left foot
401,17/12/1984,Bucks, Ricky Pierce,,activated from IL
402,18/12/1984,Nets, Darryl Dawkins,,activated from IL
403,21/12/1984,Cavaliers,, Edgar Jones,placed on IL with calcium deposit in left leg
404,27/12/1984,Nets,, Otis Birdsong,placed on IL
405,29/12/1984,Rockets,, Allen Leavell,placed on IL with right ankle inflammation
406,10/01/1985,Pacers,, Bill Garnett,placed on IL with dislocated finger
407,14/01/1985,Bulls,, Caldwell Jones,placed on IL with broken left hand
408,28/01/1985,Cavaliers, Ron Anderson,,activated from IL
409,31/01/1985,Suns, Walter Davis (P.),,activated from IL
410,07/02/1985,Jazz,, Mitchell Anderson / J.J. Anderson,placed on IL with calf injury
411,11/02/1985,Bucks,, Mike Dunleavy (Sr.),placed on IL with back injury
412,12/02/1985,Jazz, Bobby Hansen,,activated from IL
413,13/02/1985,Bullets,, Frank Johnson,placed on IL with fractured fourth metatarsal bone in left foot
414,17/02/1985,Clippers,, Bill Walton,placed on IL with sore foot
415,18/02/1985,Nets,, Mike O'Koren,placed on IL with broken arm
416,20/02/1985,Celtics,, Cedric Maxwell,placed on IL for arthroscopic surgery on knee
417,28/02/1985,Clippers, Bill Walton,,activated from IL
418,02/03/1985,Clippers,, Jay Murphy,placed on IL with torn cartilage in knee
419,19/03/1985,Suns,, Larry Nance (Sr.),placed on IL with pulled groin muscle (out ~7 games)
420,19/03/1985,Suns, Mike Sanders,,activated from IL
421,21/03/1985,Celtics,, M.L. Carr,placed on IL
422,21/03/1985,Celtics, Cedric Maxwell,,activated from IL
423,23/03/1985,Nets,, Otis Birdsong,placed on IL with fractured right hand
424,25/03/1985,Pacers,, Bill Garnett,placed on IL with dislocated finger (out for season)
425,27/03/1985,Suns,, Walter Davis (P.),placed on IL
426,29/03/1985,Suns, Larry Nance (Sr.),,activated from IL
427,08/04/1985,76ers,, Andrew Toney,placed on IL
428,08/04/1985,76ers, Clemon Johnson,,activated from IL
429,11/04/1985,Bucks,, Kenny Fields,placed on IL with sprained ankle
